iter	Passed	Remaining
1365	40034	77197
1366	40078	77195
1367	40121	77193
1368	40162	77186
1369	40206	77183
1370	40249	77181
1371	40260	77116
1372	40302	77112
1373	40320	77061
1374	40331	76996
1375	40375	76995
1376	40417	76990
1377	40460	76987
1378	40505	76987
1379	40512	76915
1380	40519	76844
1381	40542	76801
1382	40585	76797
1383	40626	76791
1384	40633	76719
1385	40646	76659
1386	40662	76604
1387	40706	76603
1388	40748	76597
1389	40792	76595
1390	40834	76590
1391	40877	76586
1392	40885	76517
1393	40929	76516
1394	40971	76509
1395	40981	76443
1396	40988	76373
1397	41006	76322
1398	41048	76315
1399	41089	76309
1400	41097	76239
1401	41140	76235
1402	41183	76231
1403	41196	76173
1404	41204	76103
1405	41218	76045
1406	41225	75975
1407	41233	75907
1408	41276	75903
1409	41283	75832
1410	41293	75768
1411	41335	75761
1412	41378	75758
1413	41397	75710
1414	41440	75706
1415	41483	75701
1416	41525	75695
1417	41568	75690
1418	41611	75686
1419	41655	75684
1420	41698	75679
1421	41707	75612
1422	41714	75542
1423	41723	75476
1424	41729	75406
1425	41743	75349
1426	41787	75346
1427	41829	75339
1428	41873	75336
1429	41915	75330
1430	41929	75273
1431	41972	75269
1432	42014	75261
1433	42056	75255
1434	42065	75189
1435	42074	75124
1436	42116	75118
1437	42159	75113
1438	42165	75042
1439	42208	75037
1440	42215	74967
1441	42257	74961
1442	42267	74898
1443	42311	74894
1444	42354	74890
1445	42395	74880
1446	42437	74874
1447	42480	74868
1448	42487	74800
1449	42494	74730
1450	42536	74725
1451	42550	74669
1452	42558	74602
1453	42568	74538
1454	42574	74469
1455	42584	74406
1456	42627	74399
1457	42670	74395
1458	42680	74331
1459	42730	74339
1460	42779	74343
1461	42785	74275
1462	42836	74282
1463	42879	74278
1464	42921	74270
1465	42927	74200
1466	42945	74151
1467	42989	74147
1468	42996	74080
1469	43004	74015
1470	43011	73947
1471	43053	73939
1472	43097	73936
1473	43140	73930
1474	43147	73862
1475	43189	73854
1476	43195	73787
1477	43237	73778
1478	43279	73771
1479	43286	73704
1480	43298	73644
1481	43341	73639
1482	43349	73574
1483	43391	73566
1484	43447	73583
1485	43491	73578
1486	43533	73571
1487	43548	73516
1488	43560	73458
1489	43602	73451
1490	43616	73396
1491	43659	73389
1492	43668	73326
1493	43677	73263
1494	43689	73204
1495	43733	73201
1496	43778	73197
1497	43821	73191
1498	43831	73130
1499	43839	73065
1500	43882	73060
1501	43927	73056
1502	43970	73050
1503	43978	72985
1504	43998	72941
1505	44041	72935
1506	44086	72931
1507	44097	72871
1508	44110	72815
1509	44130	72771
1510	44141	72712
1511	44151	72650
1512	44160	72589
1513	44203	72582
1514	44223	72537
1515	44264	72529
1516	44308	72522
1517	44315	72458
1518	44324	72396
1519	44338	72341
1520	44345	72275
1521	44365	72231
1522	44374	72171
1523	44383	72108
1524	44398	72056
1525	44407	71994
